,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,0.9038,30,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,35,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,40,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,45,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,50,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,60,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,70,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,80,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,90,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,100,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,200,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,300,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.5672,3,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.597,5,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6119,10,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6269,15,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6119,20,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6269,25,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6418,30,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6269,35,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6269,40,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6119,45,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6269,50,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6119,60,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6119,70,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6119,80,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6119,90,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6119,100,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6119,200,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.6119,300,5,74,11,668,2.032821612352161,18.0,ds_knora_eliminate
0,0.3432,3,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.3728,5,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4142,10,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4142,15,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,20,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,25,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,30,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,35,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,40,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,45,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4142,50,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,60,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,70,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,80,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,90,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,100,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,200,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.4201,300,25,57,37,1681,1.4021129210402763,19.0,ds_knora_eliminate
0,0.6863,3,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.7549,5,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8039,10,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8039,15,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8039,20,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8137,25,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8235,30,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8235,35,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
0,0.8137,40,8,17,13,1019,1.0347954002787332,20.0,ds_knora_eliminate
