,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,0.973,70,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.973,80,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.973,90,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.973,100,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.9865,200,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.9865,300,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.5455,3,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.5808,5,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.6364,10,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.6818,15,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.702,20,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.7626,25,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.7525,30,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.7778,35,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.7879,40,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.798,45,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.798,50,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.8081,60,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.8081,70,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.8182,80,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.8283,90,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.8283,100,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.8283,200,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.8283,300,10,15,12,1973,0.5318166395837574,42.0,ds_la_ola
0,0.4337,3,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.4819,5,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.6265,10,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.6928,15,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7108,20,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7169,25,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,30,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,35,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,40,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,45,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,50,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,60,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,70,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,80,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,90,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,100,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,200,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
0,0.7289,300,10,54,24,1658,2.4464014470661017,43.0,ds_la_ola
